no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
1506,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:15,2022-05-04 오전 7:37:25,은평구,진관동,은평구,역촌동,2022/05/04 7:00,2022/05/04 7:37,37,7,37.64,126.92,37.6,126.91
5758,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:10:11,2022-05-04 오전 7:33:15,강남구,세곡동,종로구,이화동,2022/05/04 7:00,2022/05/04 7:33,33,7,37.46,127.1,37.58,127
7646,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:07:47,2022-05-04 오전 7:34:45,마포구,성산제1동,송파구,가락본동,2022/05/04 7:00,2022/05/04 7:34,34,7,37.56,126.91,37.49,127.12
7921,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:06:26,2022-05-04 오전 7:24:17,성동구,금호4가동,중구,신당제3동,2022/05/04 7:00,2022/05/04 7:24,24,7,37.55,127.02,37.56,127.01
6741,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:20,2022-05-04 오전 7:19:18,노원구,중계본동,영등포구,영등포동,2022/05/04 7:00,2022/05/04 7:19,19,7,37.65,127.08,37.52,126.9
6750,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:04:32,2022-05-04 오전 7:27:45,강북구,번제2동,강북구,송천동,2022/05/04 7:00,2022/05/04 7:27,27,7,37.63,127.04,37.61,127.02
6750,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:39:45,2022-05-04 오전 7:50:24,강북구,수유제1동,강북구,삼양동,2022/05/04 7:00,2022/05/04 7:50,50,7,37.63,127.01,37.62,127.01
1921,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:37:29,2022-05-04 오전 6:58:11,양천구,신정4동,강동구,둔촌제2동,2022/05/04 7:00,2022/05/04 6:58,2,7,37.52,126.85,37.53,127.14
1565,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:05:39,2022-05-04 오전 7:26:15,노원구,공릉1.3동,중랑구,묵제2동,2022/05/04 7:00,2022/05/04 7:26,26,7,37.62,127.07,37.61,127.07
7656,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:07:08,2022-05-04 오전 7:17:59,금천구,독산제1동,금천구,독산제4동,2022/05/04 7:00,2022/05/04 7:17,17,7,37.47,126.9,37.46,126.9
7854,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:06:07,2022-05-04 오전 7:14:28,중랑구,신내2동,동작구,신대방제2동,2022/05/04 7:00,2022/05/04 7:14,14,7,37.61,127.09,37.49,126.92
8567,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:03:42,2022-05-04 오전 7:13:15,광진구,중곡제3동,광진구,중곡제2동,2022/05/04 7:00,2022/05/04 7:13,13,7,37.57,127.08,37.56,127.08
8068,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:56,2022-05-04 오전 7:39:24,강남구,세곡동,서대문구,연희동,2022/05/04 7:00,2022/05/04 7:39,39,7,37.46,127.1,37.57,126.93
8151,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:38,2022-05-04 오전 7:19:29,성동구,송정동,종로구,이화동,2022/05/04 7:00,2022/05/04 7:19,19,7,37.55,127.07,37.58,127
3186,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:01:31,2022-05-04 오전 7:25:28,송파구,방이2동,광진구,중곡제1동,2022/05/04 7:00,2022/05/04 7:25,25,7,37.51,127.11,37.56,127.07
8254,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:16,2022-05-04 오전 7:17:55,마포구,도화동,서초구,방배4동,2022/05/04 7:00,2022/05/04 7:17,17,7,37.55,126.95,37.49,126.99
1557,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:57,2022-05-04 오전 7:24:55,동작구,상도제4동,동작구,신대방제2동,2022/05/04 7:00,2022/05/04 7:24,24,7,37.5,126.94,37.49,126.92
3592,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:24,2022-05-04 오전 7:28:55,서초구,반포2동,광명시,광명5동,2022/05/04 7:00,2022/05/04 7:28,28,7,37.5,127,,
7657,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:59,2022-05-04 오전 7:36:15,서대문구,연희동,안양시만안구,안양8동,2022/05/04 7:00,2022/05/04 7:36,36,7,37.57,126.93,,
7891,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:01:42,2022-05-04 오전 7:12:04,중랑구,중화제1동,은평구,구산동,2022/05/04 7:00,2022/05/04 7:12,12,7,37.6,127.08,37.6,126.9
8295,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:04:14,2022-05-04 오전 7:24:53,동대문구,신설동,동대문구,휘경제2동,2022/05/04 7:00,2022/05/04 7:24,24,7,37.57,127.02,37.59,127.07
5752,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:10:12,2022-05-04 오전 7:30:25,용산구,이촌제1동,은평구,역촌동,2022/05/04 7:00,2022/05/04 7:30,30,7,37.52,126.97,37.6,126.91
5793,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:06:14,2022-05-04 오전 7:38:15,서대문구,홍제제1동,서대문구,신촌동,2022/05/04 7:00,2022/05/04 7:38,38,7,37.58,126.94,37.57,126.93
3563,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:06:38,2022-05-04 오전 7:27:51,강서구,공항동,강서구,화곡제6동,2022/05/04 7:00,2022/05/04 7:27,27,7,37.55,126.81,37.55,126.85
3642,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:10:46,2022-05-04 오전 7:32:35,양천구,신정7동,은평구,역촌동,2022/05/04 7:00,2022/05/04 7:32,32,7,37.51,126.86,37.6,126.91
