,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
87,5586,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:29:32,2022-05-07 오전 7:45:17,송파구,마천1동,송파구,가락2동,2022/05/07 7:00,2022/05/07 7:45,45,7,37.49,127.15,37.49,127.13
88,8260,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:32:12,2022-05-07 오전 7:43:45,서초구,양재1동,강남구,대치1동,2022/05/07 7:00,2022/05/07 7:43,43,7,37.47,127.02,37.49,127.05
89,6772,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:18,2022-05-07 오전 7:19:49,노원구,상계1동,종로구,종로1.2.3.4가동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.68,127.05,37.57,126.98
90,3837,중형승용,2022-05-07 오전 7:00:00,2022-05-07 오전 7:01:32,2022-05-07 오전 7:17:38,도봉구,창제3동,송파구,삼전동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.63,127.04,37.5,127.09
91,5798,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:11:57,2022-05-07 오전 7:38:36,강남구,수서동,광진구,화양동,2022/05/07 7:00,2022/05/07 7:38,38,7,37.485,127.1,37.54,127.07
93,9128,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:00,2022-05-07 오전 7:21:55,강서구,방화제2동,종로구,이화동,2022/05/07 7:00,2022/05/07 7:21,21,7,37.56,126.8,37.58,127
94,836,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:36,2022-05-07 오전 7:23:45,용산구,후암동,성북구,장위제1동,2022/05/07 7:00,2022/05/07 7:23,23,7,37.55,126.98,37.61,127.04
95,7902,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:01,2022-05-07 오전 7:46:15,강서구,화곡제4동,영등포구,대림제3동,2022/05/07 7:00,2022/05/07 7:46,46,7,37.53,126.86,37.5,126.9
96,8210,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:34:21,2022-05-07 오전 7:48:22,강서구,등촌제3동,강서구,방화제3동,2022/05/07 7:00,2022/05/07 7:48,48,7,37.55,126.84,37.57,126.81
97,8087,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:04,2022-05-07 오전 7:25:59,노원구,상계1동,서대문구,신촌동,2022/05/07 7:00,2022/05/07 7:25,25,7,37.68,127.05,37.57,126.93
98,7933,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:12:41,2022-05-07 오전 7:42:03,강동구,강일동,송파구,풍납2동,2022/05/07 7:00,2022/05/07 7:42,42,7,37.56,127.17,37.53,127.11
99,7651,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:18:56,2022-05-07 오전 7:43:44,강서구,가양제1동,서대문구,신촌동,2022/05/07 7:00,2022/05/07 7:43,43,7,37.57,126.84,37.57,126.93
100,3576,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:35:38,2022-05-07 오전 7:50:32,송파구,장지동,강남구,일원1동,2022/05/07 7:00,2022/05/07 7:50,50,7,37.48,127.13,37.49,127.09
102,5785,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:51,2022-05-07 오전 7:09:51,중랑구,면목본동,중랑구,면목제3.8동,2022/05/07 7:00,2022/05/07 7:09,9,7,37.58,127.08,37.58,127.1
103,5790,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:35,2022-05-07 오전 7:11:00,노원구,하계2동,노원구,월계1동,2022/05/07 7:00,2022/05/07 7:11,11,7,37.63,127.06,37.62,127.05
104,1408,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:32,2022-05-07 오전 7:16:44,마포구,공덕동,중구,소공동,2022/05/07 7:00,2022/05/07 7:16,16,7,37.55,126.96,37.56,126.97
105,7643,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:05:31,2022-05-07 오전 7:15:22,중랑구,신내2동,중랑구,신내1동,2022/05/07 7:00,2022/05/07 7:15,15,7,37.61,127.09,37.61,127.1
106,8167,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:01:22,2022-05-07 오전 7:11:40,영등포구,양평제1동,영등포구,영등포동,2022/05/07 7:00,2022/05/07 7:11,11,7,37.52,126.88,37.52,126.9
107,5735,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:01,2022-05-07 오전 7:13:20,종로구,가회동,종로구,혜화동,2022/05/07 7:00,2022/05/07 7:13,13,7,37.58,126.98,37.58,126.99
108,8004,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:05:46,2022-05-07 오전 7:17:46,은평구,구산동,은평구,불광제1동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.61,126.91,37.62,126.93
109,1697,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:24,2022-05-07 오전 7:15:41,광진구,중곡제3동,광진구,중곡제2동,2022/05/07 7:00,2022/05/07 7:15,15,7,37.57,127.08,37.56,127.08
110,804,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:34,2022-05-07 오전 7:18:19,노원구,중계2.3동,노원구,월계1동,2022/05/07 7:00,2022/05/07 7:18,18,7,37.64,127.06,37.62,127.05
111,4174,중형승합,2022-05-07 오전 7:03:10,2022-05-07 오전 7:12:51,2022-05-07 오전 7:22:45,노원구,월계1동,노원구,상계6.7동,2022/05/07 7:03,2022/05/07 7:22,19,7,37.62,127.06,37.65,127.06
112,5787,중형승합,2022-05-07 오전 7:04:00,2022-05-07 오전 7:33:43,2022-05-07 오전 7:46:20,강서구,발산제1동,서초구,반포4동,2022/05/07 7:04,2022/05/07 7:46,42,7,37.55,126.83,37.5,127
113,8022,중형 승합,2022-05-07 오전 7:06:00,2022-05-07 오전 7:09:30,2022-05-07 오전 7:20:06,광진구,중곡제3동,광진구,중곡제1동,2022/05/07 7:06,2022/05/07 7:20,14,7,37.57,127.08,37.56,127.07
114,9158,중형 승합,2022-05-07 오전 7:07:00,2022-05-07 오전 7:10:22,2022-05-07 오전 7:25:41,종로구,명륜3가동,종로구,종로5.6가동,2022/05/07 7:07,2022/05/07 7:25,18,7,37.57,127,37.57,127
115,3610,중형 승합,2022-05-07 오전 7:08:00,2022-05-07 오전 7:10:55,2022-05-07 오전 7:30:03,동대문구,청량리동,동대문구,청량리동,2022/05/07 7:08,2022/05/07 7:30,22,7,37.59,127.04,37.59,127.05
116,8295,중형 승합,2022-05-07 오전 7:08:00,2022-05-07 오전 7:09:54,2022-05-07 오전 7:24:48,성동구,마장동,서초구,서초1동,2022/05/07 7:08,2022/05/07 7:24,16,7,37.56,127.04,37.49,127.02
117,5728,중형승합,2022-05-07 오전 7:09:00,2022-05-07 오전 7:18:16,2022-05-07 오전 7:33:35,은평구,역촌동,중구,명동,2022/05/07 7:09,2022/05/07 7:33,24,7,37.6,126.91,37.56,126.98
118,1528,중형 승합,2022-05-07 오전 7:15:00,2022-05-07 오전 7:42:09,2022-05-07 오전 8:04:19,강서구,방화제3동,강서구,화곡제6동,2022/05/07 7:15,2022/05/07 8:04,49,7,37.57,126.81,37.55,126.85
119,7936,중형승합,2022-05-07 오전 7:17:11,2022-05-07 오전 7:18:52,2022-05-07 오전 7:32:13,서대문구,홍제제1동,중구,회현동,2022/05/07 7:17,2022/05/07 7:32,15,7,37.58,126.94,37.55,126.97
120,5790,중형승합,2022-05-07 오전 7:19:00,2022-05-07 오전 7:19:39,2022-05-07 오전 7:34:45,도봉구,창제2동,서초구,방배2동,2022/05/07 7:19,2022/05/07 7:34,15,7,37.64,127.03,37.46,127
121,9160,중형 승합,2022-05-07 오전 7:21:08,2022-05-07 오전 7:23:05,2022-05-07 오전 7:39:20,마포구,성산제2동,마포구,상암동,2022/05/07 7:21,2022/05/07 7:39,18,7,37.57,126.9,37.58,126.89
