,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon,startplus,endplus,gotowork,gotoschool,gotocharge,end_destination
93,5785,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:51,2022-05-07 오전 7:09:51,11,0,11,283,2022/05/07 7:00,2022/05/07 7:09,9,7,37.58,127.08,37.58,127.1,7570,7571,0,0,0,0.0
94,5790,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:35,2022-05-07 오전 7:11:00,15,171,15,182,2022/05/07 7:00,2022/05/07 7:11,11,7,37.63,127.06,37.62,127.05,7670,7670,0,0,0,0.0
95,1408,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:32,2022-05-07 오전 7:16:44,7,21,5,301,2022/05/07 7:00,2022/05/07 7:16,16,7,37.55,126.96,37.56,126.97,7569,7569,0,0,0,0.0
96,7643,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:05:31,2022-05-07 오전 7:15:22,11,49,11,127,2022/05/07 7:00,2022/05/07 7:15,15,7,37.61,127.09,37.61,127.1,7670,7671,0,0,0,0.0
97,8167,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:01:22,2022-05-07 오전 7:11:40,19,222,19,141,2022/05/07 7:00,2022/05/07 7:11,11,7,37.52,126.88,37.52,126.9,7568,7569,0,0,0,0.0
98,5735,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:01,2022-05-07 오전 7:13:20,22,292,22,7,2022/05/07 7:00,2022/05/07 7:13,13,7,37.58,126.98,37.58,126.99,7569,7569,0,0,0,0.0
99,8004,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:05:46,2022-05-07 오전 7:17:46,2,197,2,262,2022/05/07 7:00,2022/05/07 7:17,17,7,37.61,126.91,37.62,126.93,7669,7669,0,0,0,0.0
100,1697,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:24,2022-05-07 오전 7:15:41,10,51,10,154,2022/05/07 7:00,2022/05/07 7:15,15,7,37.57,127.08,37.56,127.08,7570,7570,0,0,0,0.0
101,804,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:34,2022-05-07 오전 7:18:19,15,42,15,182,2022/05/07 7:00,2022/05/07 7:18,18,7,37.64,127.06,37.62,127.05,7670,7670,0,0,0,0.0
102,4174,중형승합,2022-05-07 오전 7:03:10,2022-05-07 오전 7:12:51,2022-05-07 오전 7:22:45,15,187,15,119,2022/05/07 7:03,2022/05/07 7:22,19,7,37.62,127.06,37.65,127.06,7670,7670,0,0,0,0.0
